image-n,min,max,Q1,Q2,Q3,mean
001,0.4588235294117647,1.0,0.6745098039215687,0.8509803921568627,1.0,0.8161033290544455
002,0.4588235294117647,1.0,0.6509803921568628,0.8823529411764706,1.0,0.8222740399984458
004,0.4588235294117647,1.0,0.7803921568627451,0.9529411764705882,1.0,0.8771121024203744
006,0.4588235294117647,1.0,0.6078431372549019,0.7686274509803922,0.9882352941176471,0.7718208153062265
007,0.4588235294117647,1.0,0.6352941176470588,0.796078431372549,0.9372549019607843,0.7792266629786494
008,0.4588235294117647,1.0,0.6823529411764706,0.807843137254902,0.9058823529411765,0.7903274177865984
009,0.4588235294117647,1.0,0.6470588235294118,0.792156862745098,0.9058823529411765,0.7759442816648907
010,0.4588235294117647,1.0,0.6352941176470588,0.796078431372549,0.9333333333333333,0.7795176174002785
011,0.4588235294117647,1.0,0.5686274509803921,0.7019607843137254,0.9215686274509803,0.7337336427422836
012,0.4588235294117647,1.0,0.615686274509804,0.7843137254901961,0.9764705882352941,0.7778369421899521
013,0.4588235294117647,1.0,0.6196078431372549,0.8666666666666667,1.0,0.80924425891246
014,0.4588235294117647,1.0,0.6470588235294118,0.807843137254902,0.9490196078431372,0.7887332196627074
015,0.4588235294117647,1.0,0.6313725490196078,0.7764705882352941,0.9176470588235294,0.7704151390881261
016,0.4588235294117647,1.0,0.6274509803921569,0.7843137254901961,0.9450980392156862,0.7761242926433745
017,0.4588235294117647,1.0,0.6549019607843137,0.7803921568627451,0.9058823529411765,0.7769659043654277
018,0.4588235294117647,1.0,0.6078431372549019,0.7450980392156863,0.9294117647058824,0.7565752653723627
019,0.4588235294117647,1.0,0.6,0.7686274509803922,0.996078431372549,0.7763865542956159
020,0.4588235294117647,1.0,0.5882352941176471,0.7764705882352941,0.9921568627450981,0.7723103707661096
021,0.4588235294117647,1.0,0.5882352941176471,0.7137254901960784,0.8941176470588236,0.7376473774337271
022,0.4588235294117647,1.0,0.6666666666666666,0.803921568627451,0.9647058823529412,0.7973449711655473
024,0.4588235294117647,1.0,0.6980392156862745,0.9372549019607843,1.0,0.8473303047480296
025,0.4588235294117647,1.0,0.6745098039215687,0.8784313725490196,0.996078431372549,0.826460542603403
026,0.4588235294117647,1.0,0.6666666666666666,0.9058823529411765,1.0,0.8310802704071595
027,0.4588235294117647,1.0,0.6784313725490196,0.9686274509803922,1.0,0.8422646452678161
041,0.4588235294117647,1.0,0.7843137254901961,0.9882352941176471,1.0,0.8824031880401364
042,0.4588235294117647,1.0,0.6941176470588235,0.8549019607843137,0.996078431372549,0.8290673341006919
044,0.4588235294117647,1.0,0.803921568627451,0.9882352941176471,1.0,0.8964683403595692
047,0.4588235294117647,1.0,0.792156862745098,0.9803921568627451,1.0,0.8797236190959753
052,0.4588235294117647,1.0,0.7803921568627451,0.9921568627450981,1.0,0.8849844521255972
053,0.4588235294117647,1.0,0.7137254901960784,0.9803921568627451,1.0,0.8571817124911407
116,0.4588235294117647,1.0,0.7215686274509804,0.9764705882352941,1.0,0.8593502823434627
117,0.4588235294117647,1.0,0.6392156862745098,0.8352941176470589,0.996078431372549,0.8022673837323956
118,0.4588235294117647,1.0,0.6039215686274509,0.7686274509803922,0.996078431372549,0.775944371497509
123,0.4588235294117647,1.0,0.6470588235294118,0.9529411764705882,1.0,0.8302708550347694
124,0.4588235294117647,1.0,0.6431372549019608,0.9019607843137255,1.0,0.823325157803991
125,0.4588235294117647,1.0,0.5647058823529412,0.7137254901960784,0.9607843137254902,0.7414930906210584
126,0.4588235294117647,1.0,0.5725490196078431,0.7294117647058823,0.9686274509803922,0.7493122674501618
127,0.4588235294117647,1.0,0.6,0.7686274509803922,0.984313725490196,0.769075958974577
128,0.4588235294117647,1.0,0.611764705882353,0.7803921568627451,0.996078431372549,0.779149270164545
129,0.4588235294117647,1.0,0.6313725490196078,0.8392156862745098,1.0,0.8052693104634574
130,0.4588235294117647,1.0,0.6039215686274509,0.788235294117647,1.0,0.782850282683578
131,0.4588235294117647,1.0,0.6235294117647059,0.9137254901960784,1.0,0.8199245299186729
132,0.4588235294117647,1.0,0.5843137254901961,0.7764705882352941,1.0,0.7740134083044983
133,0.4588235294117647,1.0,0.5647058823529412,0.7333333333333333,0.9921568627450981,0.7517366174944978
134,0.4588235294117647,1.0,0.5882352941176471,0.788235294117647,1.0,0.7793220007425116
135,0.4588235294117647,1.0,0.596078431372549,0.8352941176470589,1.0,0.7959845976860899
136,0.4588235294117647,1.0,0.592156862745098,0.7568627450980392,1.0,0.7675288560477215
137,0.4588235294117647,1.0,0.6,0.7725490196078432,0.9921568627450981,0.7715350606153061
138,0.4588235294117647,1.0,0.6,0.7450980392156863,0.9294117647058824,0.755375353479791
139,0.4588235294117647,1.0,0.6039215686274509,0.7568627450980392,0.9490196078431372,0.7630778350533487
140,0.4588235294117647,1.0,0.8235294117647058,0.9921568627450981,1.0,0.9052398437813912
147,0.4588235294117647,1.0,0.6705882352941176,0.9019607843137255,1.0,0.8316129232359888
148,0.4588235294117647,1.0,0.6666666666666666,0.8431372549019608,0.996078431372549,0.8103958314890363
149,0.4588235294117647,1.0,0.6627450980392157,0.9098039215686274,1.0,0.8317317781819609
150,0.4588235294117647,1.0,0.615686274509804,0.803921568627451,1.0,0.7881838534872017
151,0.4588235294117647,1.0,0.6039215686274509,0.7764705882352941,0.996078431372549,0.7758597942815626
152,0.4588235294117647,1.0,0.6274509803921569,0.8392156862745098,1.0,0.8054005752934639
153,0.4588235294117647,1.0,0.6352941176470588,0.8431372549019608,1.0,0.8071192908775956
154,0.4588235294117647,1.0,0.6196078431372549,0.807843137254902,1.0,0.7905086255357963
155,0.4588235294117647,1.0,0.6235294117647059,0.8509803921568627,1.0,0.8061898851224955
156,0.4588235294117647,1.0,0.5764705882352941,0.7176470588235294,0.9607843137254902,0.7442342967670721
157,0.4588235294117647,1.0,0.5372549019607843,0.6745098039215687,1.0,0.7311494558224066
158,0.4588235294117647,1.0,0.5333333333333333,0.6431372549019608,0.9333333333333333,0.7066780918666609
159,0.4588235294117647,1.0,0.6666666666666666,0.984313725490196,1.0,0.8410513458848798
167,0.4588235294117647,1.0,0.7294117647058823,0.9019607843137255,1.0,0.8514005704794468
168,0.4588235294117647,1.0,0.7411764705882353,0.9803921568627451,1.0,0.8675098227483393
169,0.4588235294117647,1.0,0.7568627450980392,0.984313725490196,1.0,0.8722696386169748
184,0.4588235294117647,1.0,0.6196078431372549,0.792156862745098,0.984313725490196,0.7804911490926593
186,0.4588235294117647,1.0,0.6588235294117647,0.8313725490196079,1.0,0.8154396835724469
187,0.4588235294117647,1.0,0.8,0.9882352941176471,1.0,0.8962190822019881
188,0.4588235294117647,1.0,0.7019607843137254,0.9450980392156862,1.0,0.8504064876339452
189,0.4588235294117647,1.0,0.6901960784313725,0.9019607843137255,1.0,0.8370841559420337
251,0.4588235294117647,1.0,0.6235294117647059,0.8,1.0,0.7967146979818177
253,0.4588235294117647,1.0,0.792156862745098,0.984313725490196,1.0,0.8920238389938594
